parent_file_id,parent_file_name,parent_file_path,tank_id,session_id,recording_start_time,recording_end_time,sensor_type,download_source
2262297234751,LUW1698_20260530_050000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T05:00:00,,audio,box
2262302445580,LUW1698_20260530_051000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T05:10:00,,audio,box
2262209046474,LUW1698_20260530_052000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T05:20:00,,audio,box
2262248574140,LUW1698_20260530_053000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T05:30:00,,audio,box
2262276299080,LUW1698_20260530_054000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T05:40:00,,audio,box
2262169677037,LUW1698_20260530_055000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T05:50:00,,audio,box
2262291375993,LUW1698_20260530_060000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T06:00:00,,audio,box
2262258052526,LUW1698_20260530_061000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T06:10:00,,audio,box
2262297981151,LUW1698_20260530_062000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T06:20:00,,audio,box
2262248329947,LUW1698_20260530_063000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T06:30:00,,audio,box
2262251912934,LUW1698_20260530_064000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T06:40:00,,audio,box
2262291952789,LUW1698_20260530_065000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T06:50:00,,audio,box
2262224538704,LUW1698_20260530_070000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T07:00:00,,audio,box
